53;GP1053;GT2556;Core Assembly (CHRA);TATA 1109,709;TATA MOTORS;4
54;GP1054;GT2252;Core Assembly (CHRA);TATA 407, 712;TATA MOTORS;4
55;GP1044;5045 902 008;Core Assembly (CHRA);Industrial application;TAFE;19
56;GP1055;INNOVA;Core Assembly (CHRA);New Geneartion;TOYOTA;22
57;GP1056;ETIOS LIVA;Core Assembly (CHRA);New Geneartion;TOYOTA;24
58;GP1057;FORTUNER;Core Assembly (CHRA);New Geneartion;TOYOTA;25
59;GP1058;SKODA FABIA;Core Assembly (CHRA);New Geneartion;SKODA;4
60;GP1059;SKODA LAURA;Core Assembly (CHRA);New Geneartion;SKODA;2
61;GP1060;SKODA OCTIVIA;Core Assembly (CHRA);New Geneartion;SKODA;10
62;GP1061;SKODA RAPID;Core Assembly (CHRA);New Geneartion;SKODA;24
63;GP1062;HYUNDAI VERNA OLD MODEL;Core Assembly (CHRA);New Geneartion;HYUNDAI;24
64;GP1063;HYUNDAI VERNA FLUDIC;Core Assembly (CHRA);New Geneartion;HYUNDAI;24
65;GP1064;HYUNDAI ELENTRA;Core Assembly (CHRA);New Geneartion;HYUNDAI;13
66;GP1065;HYUNDAI ACCENT OLD MODEL;Core Assembly (CHRA);New Geneartion;HYUNDAI;13
67;GP1066;HYUNDAI ACCENT NEW MODEL;Core Assembly (CHRA);New Geneartion;HYUNDAI;13
68;GP1067;VENTO;Core Assembly (CHRA);New Geneartion;HYUNDAI;22
69;GP1068;POLO;Core Assembly (CHRA);New Geneartion;VW;2
70;GP1069;VW JETTA;Core Assembly (CHRA);New Geneartion;VW;25
71;GP1070;XTRAIL;Core Assembly (CHRA);New Geneartion;NISSAN;25
72;GP1071;CHEVROLET CATIVIA;Core Assembly (CHRA);New Geneartion;CHERVOLET;25
73;GP1072;MERCEDES BENZ;Core Assembly (CHRA);New Geneartion;MERCEDES;2
74;GP1073;AUDI;Core Assembly (CHRA);New Geneartion;AUDI;4
75;GP1074;OPEL ASTRA;Core Assembly (CHRA);New Geneartion;OPEL;4
76;GP1075;BMW;Core Assembly (CHRA);New Geneartion;BMW;10
77;GP1076;MITSUBISHI PAJERO;Core Assembly (CHRA);New Geneartion;MITSUBISHI;10
78;GP1077;LANDROVER DISCOVERY;Core Assembly (CHRA);New Geneartion;LANDROVER;4
79;GP1077;MITSUBISHI;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
80;GP1078;CATAPILER;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
81;GP1079;DAEWOO;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
82;GP1080;ESCORTS;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
83;GP1081;GREAVES COTTON;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
84;GP1082;HITACHI;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
85;GP1083;JCB;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
86;GP1084;KIRLOSKAR;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
87;GP1085;K.H.DEUTZ;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
88;GP1086;KOBELCO;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
89;GP1087;KOMATSU;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
